Protein Complex,Bile,Bladder,Bone,Brain,breast,cervical,colorectal,esophagel,Galbladder,Gastric,head,Kidney,Leukemia,liver,lung,lymphoma,Myeloma,Neuroblastoma,Non-cancerous,ovarian,pancreatic,prostate,Rhabdoid,Sarcoma,skin,testis,thyroid,Uncategorized,Uterine
"['O75530', 'Q15022', 'Q15910', 'Q16576', 'Q5T6S3', 'Q96JN0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P04839', 'P13498', 'P14598', 'P19878', 'P63000', 'Q15080']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A1L190', 'Q15431', 'Q6PIF2', 'Q8IZU3', 'Q8N0S2', 'Q9BX26', 'Q9BXU0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O96019', 'P51532', 'P60709', 'Q12824', 'Q6STE5', 'Q8TAQ2', 'Q8WUB8', 'Q92922', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60524', 'O94822', 'P55072', 'Q8TAT6', 'Q92890', 'Q9BQ70']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P08708', 'P08865', 'P15880', 'P23396', 'P25398', 'P39019', 'P42677', 'P46781', 'P46782', 'P46783', 'P60866', 'P61247', 'P62081', 'P62241', 'P62244', 'P62249', 'P62263', 'P62266', 'P62269', 'P62273', 'P62277', 'P62280', 'P62701', 'P62753', 'P62841', 'P62847', 'P62851', 'P62854', 'P62857', 'P62861', 'P62979', 'P63220', 'P63244', 'Q71UM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['B1AL88', 'P62158', 'Q8IZF0', 'Q8N2C7', 'Q9P2D8']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O43504', 'Q0VGL1', 'Q6IAA8', 'Q9UHA4', 'Q9Y2Q5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94805', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8NFD5', 'Q8TAQ2', 'Q92782', 'Q92784', 'Q92922', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O75817', 'O75818', 'O95707', 'P78345', 'P78346', 'Q969H6', 'Q99575', 'Q9BUL9']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O43292', 'Q92643', 'Q969N2', 'Q96S52', 'Q9H490']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P19784', 'P67870', 'Q86SE9', 'Q8IY57', 'Q8WXX7', 'Q99496']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O94805', 'P51532', 'P60709', 'Q12824', 'Q6STE5', 'Q8TAQ2', 'Q92782', 'Q92784', 'Q92922', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O43719', 'O75533', 'P08579', 'P09661', 'P14678', 'P62304', 'P62306', 'P62308', 'P62314', 'P62316', 'P62318', 'Q12874', 'Q13435', 'Q15393', 'Q15427', 'Q15428', 'Q15459', 'Q7L014', 'Q7RTV0', 'Q8TAD8', 'Q9BRD0', 'Q9BWJ5', 'Q9Y388', 'Q9Y3B4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14925', 'O43615', 'O60830', 'P38646', 'P60602', 'Q3ZCQ8', 'Q8TAA5', 'Q96DA6', 'Q9BVV7', 'Q9HAV7', 'Q9Y3D7', 'Q9Y5T4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O96019', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8TAQ2', 'Q92784', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P63208', 'Q06587', 'Q6W2J9', 'Q8N488', 'Q8NHM5', 'Q9BSM1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P63208', 'Q06587', 'Q6W2J9', 'Q8IY57', 'Q8NHM5', 'Q9BSM1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q15061', 'Q8IWA0', 'Q8TED0', 'Q969X6', 'Q9H583', 'Q9H8H0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P62072', 'Q53H12', 'Q6PF06', 'Q9BSF4', 'Q9Y584', 'Q9Y5J7']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P10244', 'Q09028', 'Q52LA3', 'Q5TKA1', 'Q6MZP7', 'Q96GY3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P56597', 'P59910', 'Q5TD94', 'Q6P9G0', 'Q86UC2', 'Q8IYR0', 'Q8WWB3', 'Q8WYR4', 'Q96C74', 'Q96FJ2', 'Q9H1X1', 'Q9UHP6']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P19784', 'P67870', 'P68400', 'Q86SE9', 'Q8N488', 'Q8WXX7', 'Q99496']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q12768', 'Q2M389', 'Q641Q2', 'Q6VEQ5', 'Q9Y3C0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O95995', 'Q5JU00', 'Q5VUJ9', 'Q86XH1', 'Q8IXS2', 'Q8IY82', 'Q8NEE6', 'Q96DY2', 'Q96MC2', 'Q9H069', 'Q9H095']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14925', 'O43615', 'P38646', 'P60602', 'Q3ZCQ8', 'Q8TAA5', 'Q96DA6', 'Q99595', 'Q9BVV7', 'Q9HAV7', 'Q9Y3D7', 'Q9Y5T4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14561', 'Q16595', 'Q6P4F2', 'Q9H1K1', 'Q9HD34', 'Q9Y697']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O75530', 'Q09028', 'Q15022', 'Q6ZN18', 'Q92800', 'Q92833']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P62877', 'Q13620', 'Q16531', 'Q66K64', 'Q9BW61']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O00231', 'O00232', 'O00487', 'O14818', 'O43242', 'P17980', 'P20618', 'P25786', 'P25787', 'P25788', 'P25789', 'P28066', 'P28070', 'P28072', 'P28074', 'P35998', 'P43686', 'P48556', 'P49720', 'P49721', 'P51665', 'P55036', 'P60896', 'P60900', 'P62191', 'P62195', 'P62333', 'Q13200', 'Q15008', 'Q16186', 'Q99436', 'Q99460', 'Q9UNM6']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P20226', 'Q15572', 'Q15573', 'Q53T94', 'Q9H5J8']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O43660', 'O75934', 'P11142', 'Q8WYA6', 'Q99459', 'Q9P013', 'Q9UMS4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O96019', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8TAQ2', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P19784', 'P67870', 'Q3KNV8', 'Q8IY57', 'Q8WXX7', 'Q99496']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P19784', 'P67870', 'P68400', 'Q3KNV8', 'Q8N488', 'Q8WXX7', 'Q99496']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O75530', 'Q09028', 'Q15022', 'Q15910', 'Q5T6S3', 'Q96JN0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O96019', 'P51531', 'P60709', 'Q15532', 'Q4VC05', 'Q8WUZ0', 'Q92922', 'Q96GM5', 'Q9BQE9', 'Q9H8M2', 'Q9NZM4']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"['P19784', 'P67870', 'P68400', 'Q3KNV8', 'Q8IY57', 'Q8WXX7', 'Q99496']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P62877', 'Q13617', 'Q15369', 'Q15370', 'Q96L50']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P63208', 'Q5H9F3', 'Q8N488', 'Q8NHM5', 'Q99496', 'Q9BSM1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O96019', 'P51532', 'P60709', 'Q15532', 'Q4VC05', 'Q6AI39', 'Q8WUZ0', 'Q92922', 'Q96GM5', 'Q9BQE9', 'Q9H8M2']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"['O15514', 'P0CAP2', 'P19387', 'P19388', 'P24928', 'P30876', 'P36954', 'P52434', 'P52435', 'P53803', 'P61218', 'P62487', 'P62875']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q52LJ0', 'Q8IWT0', 'Q8NCA5', 'Q92499', 'Q9BVC5', 'Q9Y224', 'Q9Y3I0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q06265', 'Q13868', 'Q15024', 'Q5RKV6', 'Q8TF46', 'Q96B26', 'Q9NPD3', 'Q9NQT4', 'Q9NQT5', 'Q9Y3B2']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O43189', 'O75530', 'Q15022', 'Q15910', 'Q16576', 'Q96JN0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14893', 'P57678', 'Q16637', 'Q8TEQ6', 'Q8WXD5', 'Q9H840', 'Q9NWZ8', 'Q9UHI6', 'Q9Y3F4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O75182', 'O75446', 'P29374', 'Q09028', 'Q13547', 'Q16576', 'Q4LE39', 'Q5PSV4', 'Q92769', 'Q9H0E3', 'Q9H160', 'Q9H7L9', 'Q9HAJ7', 'Q9HCU9', 'Q9UK53']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A8K0Z3', 'Q12768', 'Q2M389', 'Q9Y3C0', 'Q9Y4E1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60293', 'P42285', 'Q86U42', 'Q8IXZ2', 'Q9P2N5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A5YKK6', 'O75175', 'O95628', 'Q92600', 'Q9C0C2', 'Q9H9A5', 'Q9NZN8', 'Q9UIV1', 'Q9UKZ1', 'Q9ULM6']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O00303', 'O15371', 'O15372', 'O75821', 'O75822', 'P55884', 'P60228', 'Q13347', 'Q14152', 'Q7L2H7', 'Q99613', 'Q9UBQ5', 'Q9Y262']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14802', 'O15160', 'O15318', 'O75575', 'P05423', 'P0DPB6', 'P19388', 'P52434', 'P53803', 'P61218', 'P62875', 'Q9BUI4', 'Q9H1D9', 'Q9NVU0', 'Q9NW08', 'Q9Y2Y1', 'Q9Y535']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P23458', 'P29597', 'Q08334', 'Q8IU54', 'Q8IU57']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O15294', 'P51610', 'P61964', 'Q7Z3B3', 'Q96EZ8', 'Q9BVI0', 'Q9H7Z6', 'Q9H9L4', 'Q9P2N6']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O75478', 'O75528', 'P61964', 'Q01658', 'Q8IYH5', 'Q92831', 'Q96ES7', 'Q9H8E8', 'Q9NS73', 'Q9ULM3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O96019', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8NFD5', 'Q8TAQ2', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94805', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8NFD5', 'Q8TAQ2', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A6NHQ4', 'O75530', 'Q15022', 'Q16576', 'Q92800', 'Q9Y483']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94805', 'P51531', 'P60709', 'Q15532', 'Q4VC05', 'Q8WUZ0', 'Q92922', 'Q96GM5', 'Q9BQE9', 'Q9H8M2', 'Q9NZM4']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"['P49810', 'P49810', 'Q92542', 'Q96BI3', 'Q9NZ42']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P62877', 'Q13617', 'Q15369', 'Q15370', 'Q9BQ90']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A8K0Z3', 'Q12768', 'Q2M389', 'Q641Q2', 'Q9Y3C0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94805', 'P51532', 'P60709', 'Q12824', 'Q6STE5', 'Q8NFD5', 'Q8TAQ2', 'Q92784', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94805', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8NFD5', 'Q8TAQ2', 'Q92784', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A6NHQ4', 'O43189', 'O75530', 'Q15022', 'Q15910', 'Q16576']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O94805', 'P51532', 'P60709', 'Q12824', 'Q8TAQ2', 'Q92925', 'Q969G3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O95639', 'Q10570', 'Q6UN15', 'Q92797', 'Q9C0J8', 'Q9P2I0', 'Q9UKF6']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O15342', 'O75348', 'O75787', 'O95670', 'P15313', 'P21281', 'P21283', 'P27449', 'P36543', 'P38606', 'P61421', 'Q13488', 'Q15904', 'Q16864', 'Q6P5S7', 'Q8N8Y2', 'Q8NEY4', 'Q8NHE4', 'Q96A05', 'Q96LB4', 'Q99437', 'Q9UI12', 'Q9Y5K8']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O15342', 'O75348', 'O75787', 'O95670', 'P15313', 'P21281', 'P21283', 'P27449', 'P36543', 'P38606', 'P61421', 'Q15904', 'Q16864', 'Q6P5S7', 'Q8N8Y2', 'Q8NEY4', 'Q8NHE4', 'Q96A05', 'Q96LB4', 'Q99437', 'Q9HBG4', 'Q9UI12', 'Q9Y5K8']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O00268', 'O15265', 'O75486', 'O75528', 'O75529', 'P49848', 'Q12962', 'Q14CW9', 'Q15542', 'Q15545', 'Q16514', 'Q16594', 'Q6P1X5', 'Q92830', 'Q9NPA8', 'Q9UPT9', 'Q9Y4A5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O94805', 'P51531', 'P60709', 'Q12824', 'Q6STE5', 'Q8TAQ2', 'Q92784', 'Q92922', 'Q92925', 'Q969G3', 'Q96GM5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O96019', 'P51532', 'P60709', 'Q15532', 'Q4VC05', 'Q8WUZ0', 'Q92922', 'Q96GM5', 'Q9BQE9', 'Q9H8M2', 'Q9NZM4']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"['P35249', 'P35250', 'P35251', 'P40937', 'P40938']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['A0A5B9', 'P01848', 'P04234', 'P07766', 'P09693', 'P20963']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P61201', 'Q13098', 'Q7L5N1', 'Q92905', 'Q99627', 'Q9BT78', 'Q9H9Q2', 'Q9UNS2']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94805', 'P51532', 'P60709', 'Q12824', 'Q8NFD5', 'Q8TAQ2', 'Q92925', 'Q969G3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60293', 'P42285', 'Q5T8P6', 'Q86U42', 'Q8IXZ2']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O14497', 'O94805', 'P51531', 'P60709', 'Q12824', 'Q8TAQ2', 'Q92925', 'Q969G3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P40337', 'P62877', 'Q13617', 'Q15369', 'Q15370']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"['P67870', 'P68400', 'Q86SE9', 'Q8N488', 'Q8WXX7', 'Q99496']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q12768', 'Q2M389', 'Q9NQA3', 'Q9Y3C0', 'Q9Y4E1']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60674', 'P01579', 'P15260', 'P23458', 'P38484']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q5TA45', 'Q68E01', 'Q6P9B9', 'Q75QN2', 'Q8N201', 'Q96CB8', 'Q96HW7', 'Q96SY0', 'Q9H0H0', 'Q9NV88', 'Q9NVH2', 'Q9NVM9', 'Q9NVR2', 'Q9UL03']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Q08999', 'Q09028', 'Q14186', 'Q14188', 'Q15329', 'Q16254', 'Q52LA3', 'Q5TKA1', 'Q6MZP7', 'Q96GY3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P01024', 'P01024', 'P05156', 'P05156', 'P08603']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P17181', 'P23458', 'P29597', 'P32881', 'P48551']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['P38398', 'P46736', 'Q6UWZ7', 'Q96RL1', 'Q99728', 'Q9NWV8', 'Q9NXR7']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
